X,Y,OBJECTID,ARC_Street,ARC_City,ARC_State,ARC_ZIP,PSC_NUMBER,School_Type,County,School_Name,Grades
-8542045.2543,4715833.8396,2042,12520 Kembridge Drive,Bowie,MD,20715,16.195,Elementary,Prince George's,Kenilworth Elementary School,K-5
-8556821.8512,4711289.0532,2043,3211 82nd Avenue,Landover,MD,20785,16.225,Special Education,Prince George's,Kenmoor Early Childhood Center,PreK
-8556879.6168,4710928.396,2044,2500 Kenmoor Drive,Landover,MD,20785,16.212,Middle,Prince George's,Kenmoor Middle School,6-8
-8444633.6072,4818506.1549,2045,2475 Singerly Road,Elkton,MD,21921,7.021,Elementary,Cecil,Kenmore Elementary School,K-5
-8467399.5626,4727116.0006,2046,420 Little Kidwell Avenue,Centreville,MD,21617,17.012,Elementary,Queen Anne's,Kennard Elementary School,3-5
-8575902.6337,4731192.2106,2047,1901 Randolph Road,Silver Spring,MD,20902,15.172,High,Montgomery,Kennedy (John F.) High School,9-12
-8582202.5032,4724801.8806,2048,4710 Saul Road,Kensington,MD,20895,15.004,Elementary,Montgomery,Kensington-Parkwood Elementary School,K-5
-8470488.0337,4762620.9016,2049,25301 Lambs Meadow Road,Worton,MD,21678,14.007,High,Kent,Kent County High School,9-12
-8467170.4694,4752913.2913,2050,400 Campus Avenue,Chestertown,MD,21620,14.003,Middle,Kent,Kent County Middle School,6-8
-8494574.8081,4718774.1153,2051,110 Elementary Way,Stevensville,MD,21666,17.007,Elementary,Queen Anne's,Kent Island Elementary School,PreK-2
-8494739.0052,4720393.6771,2052,900 Love Point Road,Stevensville,MD,21666,17.023,High,Queen Anne's,Kent Island High School,9-12
-8511972.7564,4768379.2298,2053,501 Stemmers Run Road,Baltimore,MD,21221,3.148,High,Baltimore,Kenwood High School,9-12
-8550912.8212,4706076.5694,2054,11000 Layton Street,Upper Marlboro,MD,20774,16.188,Elementary,Prince George's,Kettering Elementary School,PreK-5
-8550582.7045,4706587.6815,2055,65 Herrington Drive,Upper Marlboro,MD,20774,16.043,Middle,Prince George's,Kettering Middle School,6-8
-8570774.363,4725681.3111,2056,910 Schindler Drive,Silver Spring,MD,20903,15.23,Middle,Montgomery,Key (Francis S.) Middle School,6-8
-8603341.4454,4747617.3045,2057,13737 Wisteria Drive,Germantown,MD,20874,15.198,Middle,Montgomery,"King (Dr. Martin Luther, Jr.) Middle School",6-8
-8548998.3256,4708539.0577,2058,1401 Enterprise Road,Mitchellville,MD,20721,16.133,Elementary,Prince George's,Kingsford Elementary School,PreK-6
-8603302.5275,4745500.3358,2059,18909 Kingsview Road,Germantown,MD,20874,15.2,Middle,Montgomery,Kingsview Middle School,6-8
-8506904.9245,4787261.3793,2060,7300 Sunshine Avenue,Kingsville,MD,21087,3.08,Elementary,Baltimore,Kingsville Elementary School,K-5
-8566086.3323,4656868.6408,2061,6035 Radio Station Road,La Plata,MD,20646,8.013,High,Charles,La Plata High School,9-12
-8552638.4565,4707929.7249,2062,10205 Lake Arbor Way,Mitchellville,MD,20721,16.234,Elementary,Prince George's,Lake Arbor Elementary School,PreK-5
-8525438.0725,4767275.1076,2063,2801 St Lo Drive,Baltimore,MD,21213,30.241,Middle/High,Baltimore City,Lake Clifton Building # 040,"PreK; 9-12"
-8603119.4949,4747949.3411,2064,13600 Wanegarden Drive,Germantown,MD,20874,15.043,Elementary,Montgomery,Lake Seneca Elementary School,PreK-5
