the_geom,OBJECTID,BLDG_NUM,PRG_NUM,NAME,ADDRESS,CLASS,GRADES,ZIPCODE,TYPE
POINT (-76.611219865563 39.277471812497),971,45,45,Federal Hill Preparatory Academy,1040 William Street,PK - 5,PK - 5,21230,Traditional
POINT (-76.597847636959 39.296849019012),"1,044",133,421,National Academy Foundation,540 N. Caroline Street,6 - 12,6 - 12,21205,Traditional
POINT (-76.610197603498 39.344104328186),987,214,214,Guilford Elementary/Middle,4520 York Road,PK - 8,PK - 8,21212,Traditional
POINT (-76.557668520234 39.359828383615),992,236,236,Hamilton Elementary/Middle,6101 Old Harford Road,PK - 8,PK - 8,21214,Traditional
POINT (-76.683255438543 39.326069201389),"1,015",64,64,Liberty Elementary,3901 Maine Avenue,PK - 5,PK - 5,21207,Traditional
POINT (-76.644907300082 39.25371780735),"1,016",12,12,Lakeland Elementary/Middle,2921 Stranden Rd,PK - 8,PK - 8,21230,Traditional
POINT (-76.554876926467 39.350474638428),989,41,346,City Neighbors Hamilton,5609 Sefton Avenue,K - 8,K - 8,21214,Charter
POINT (-76.620783684746 39.253326585541),"1,090",0,0,P-TECH at New Era Academy,2700 Seamon Avenue,,,21225,
POINT (-76.618654498085 39.316127259421),"1,083",0,854,Career Academy,101 W 24th St,11 - 12,11 - 12,21218,Alternative
POINT (-76.642597949632 39.347161211058),"1,066",407,407,Western High,4600 Falls Road,9 - 12,9 - 12,21209,Traditional
POINT (-76.618042893003 39.295186785096),923,348,348,Baltimore Leadership School for Young Women,128 W Franklin Street,6 - 12,6 - 12,21201,Charter
POINT (-76.586713231972 39.307295451168),946,97,97,Collington Square Elementary/Middle,1409 N Collington Avenue,PK - 8,PK - 8,21213,Traditional
POINT (-76.581362129977 39.363518821378),"1,076",219,219,Yorkwood Elementary,5931 Yorkwood Road,PK - 5,PK - 5,21239,Traditional
POINT (-76.654917868822 39.314836884177),975,450,450,Frederick Douglass High,2301 Gwynns Falls Parkway,9 - 12,9 - 12,21217,Traditional
POINT (-76.671041779851 39.303713207453),932,217,217,Belmont Elementary,1406 N Ellamont Street,PK - 5,PK - 5,21216,Traditional
POINT (-76.572428183468 39.324262100985),919,337,337,Afya Public Charter,2800 Brendan Avenue,6 - 8,6 - 8,21213,Charter
POINT (-76.540518456097 39.366969874562),"1,075",205,205,Woodhome Elementary/Middle,7300 Moyer Avenue,PK - 8,PK - 8,21234,Traditional
POINT (-76.587806501681 39.300474149039),964,368,368,Elmer A. Henderson: A Johns Hopkins Partnership School,2100 Ashland Avenue,K - 8,K - 8,21205,Contract
POINT (-76.594170905531 39.313430852176),999,37,37,Harford Heights Elementary,1919 N Broadway,PK - 5,PK - 5,21213,Traditional
POINT (-76.664001205251 39.317605189106),"1,087",0,729,Angela Y. Davis Leadership Academy,2801 N Dukeland Street,,,21216,
POINT (-76.705601849536 39.284665480185),940,75,75,Calverton Elementary/Middle,201 North Bend Road,PK - 8,PK - 8,21229,Operator- Restart
POINT (-76.637736279116 39.33087303898),"1,047",56,427,Academy for College and Career Exploration,1300 W 36th St,6 - 12,6 - 12,21211,Traditional
POINT (-76.602541307303 39.321593385271),918,50,15,Stadium School,1400 Exeter Hall Avenue,6 - 8,6 - 8,21218,Traditional
POINT (-76.641137287253 39.298230054332),998,35,35,Harlem Park Elementary/Middle,1401 W Lafayette Avenue,PK - 8,PK - 8,21217,Traditional
POINT (-76.64139702216 39.297407659935),996,78,430,Augusta Fells Savage Institute of Visual Arts,1500 Harlem Avenue,9 - 12,9 - 12,21217,Traditional
POINT (-76.611414470919 39.323663128533),930,54,54,Barclay Elementary/Middle,2900 Barclay Street,PK - 8,PK - 8,21218,Traditional
POINT (-76.678075374704 39.310301893056),"1,081",0,303,Home and Hospital Program,2000 Edgewood Street,K - 12,K - 12,21216,Alternative
POINT (-76.580595688065 39.308578067892),"1,013",86,86,Lakewood Elementary,2625 Federal Street,PK - K,PK - K,21213,Traditional
POINT (-76.683129043095 39.295025206813),"1,020",88,88,Wildwood Elementary/Middle School,621 Wildwood Parkway,PK - 8,PK - 8,21229,Traditional
POINT (-76.56954851905 39.349475787932),978,212,212,Garrett Heights Elementary/Middle,2800 Ailsa Avenue,PK - 8,PK - 8,21214,Traditional
POINT (-76.658371541048 39.345293057234),967,82,347,KIPP Harmony Academy,4701 Greenspring Avenue,K - 8,K - 8,21209,Charter
POINT (-76.688114712872 39.291273373571),961,400,400,Edmondson-Westside High,501 N Athol Avenue,9 - 12,9 - 12,21229,Traditional
POINT (-76.656828630467 39.310884165555),"1,070",301,301,William S. Baer School,2001 N Warwick Avenue,PK - 12,PK - 12,21216,Separate Public Day
